towns_station_name,police_station_id,police_station_name,police_kind,city,address,latitude,longitude,match_method,match_confidence,requires_manual_review,notes
מרחב אילת,10001955,מרחב אילת,region,אילת,"רחוב ששת הימים 64, אילת",29.56964639,34.95131028,exact,1,FALSE,
מרחב דוד,10002556,מרחב דוד (ירושלים),region,ירושלים,"רחוב הפטריארכיה הארמנית (כיכר עומר בן אל-ח'טאב), העיר העתיקה, ירושלים",31.7756489,35.2285662,qualified_name,0.95,FALSE,
תחנת אום אל-פחם,10004249,תחנת אום אל פאחם,station,אום אל-פחם,רחוב א-זהר 2,32.53207203,35.1565101,spelling_variant,0.95,FALSE,Clear spelling variant: פחם/פאחם.
תחנת אופקים,10001893,תחנת אופקים,station,אופקים,"קבוץ גלויות 8, אופקים - הכניסה מרחוב הרצל 2",31.32170122,34.61908184,exact,1,FALSE,
תחנת אריאל,15004488,תחנת אריאל מרחב שומרון,station,אריאל,רחוב המדע 22 אריאל - בשטח האוניברסיטה בסמוך לכניסה המזרחית לישוב,32.10262384,35.21259025,qualified_name,0.95,FALSE,
תחנת אשדוד,10001836,תחנת אשדוד,station,אשדוד,"הנביאים 40, אשדוד",31.7788179,34.64999329,exact,1,FALSE,
תחנת אשקלון,10001805,תחנת אשקלון,station,אשקלון,"רחוב הנשיא פינת רחוב אלי כהן, אשקלון",31.66657062,34.56231993,exact,1,FALSE,
תחנת באקה אל-גרביה,15002436,תחנה באקה אל ע'רביה,station,באקה אל-גרביה,"רחוב אלע'אזלי פינת ביר בורין(ליד קופת חולים), באקה אל-ע'רביה",32.42022297,35.04171801,curated_candidate,0.8,FALSE,The seed contains two conflicting Baqa-named records; selected the one whose city and address are in Baqa al-Gharbiyye.
תחנת באר שבע,10001900,תחנת באר-שבע,station,באר שבע,"רחוב הרצל פינת רחוב קק""ל, באר שבע",31.24012443,34.78784991,normalized_exact,0.99,FALSE,
תחנת בית שאן,10004568,תחנת בית-שאן,station,בית שאן,"סמוך לצומת הרחובות שאול המלך ויצחק שמש, בית שאן",32.50066605,35.49368318,normalized_exact,0.99,FALSE,
תחנת בית שמש,10002507,תחנת בית-שמש,station,בית שמש,"בסמוך לצומת הכניסה לנחם (מפגש הכבישים 38 ו-3856), בית שמש",31.76159799,34.99408396,normalized_exact,0.99,FALSE,
תחנת בני ברק,15003979,תחנת בני ברק,station,בני ברק,"רח' הקישון 10, בני ברק",32.0988098,34.83131123,exact,1,FALSE,
תחנת בנימין,10003299,תחנת בנימין (שער בנימין),station,גבע בנימין,אזור התעשייה שער בנימין,31.86629148,35.26054542,qualified_name,0.95,FALSE,
תחנת בת ים,15005711,תחנת בת ים איילון החדש,station,בת ים,"רחוב דוד רזיאל פינת רחוב ירקוני, בת ים",32.0143614,34.75745863,qualified_name,0.95,FALSE,
תחנת ג'סר א-זרקא,15002142,תחנת ג'סר א-זרקא חוף,station,ג'סר א זרקא,רחוב אל-בחר (בסמוך לחוף הים),32.53675688,34.90528257,qualified_name,0.95,FALSE,
תחנת גבעתיים,10001533,תחנת גבעתיים,station,גבעתיים,"ויצמן 76, גבעתיים",32.06707819,34.80834274,exact,1,FALSE,
תחנת גולן,10004579,תחנת גולן (קצרין),station,קצרין,"רחוב שיאון פינת רחוב גילבון, קצרין",32.99168658,35.69338245,qualified_name,0.95,FALSE,
תחנת גליל מערבי,15002143,תחנת גליל מערבי,station,כפר יאסיף,"כפר יאסיף, בכניסה ליישוב מכביש 70, מול תחנת הדלק",32.94834687,35.16388996,exact,1,FALSE,
תחנת גלילות,10001605,תחנת גלילות (הרצליה),station,הרצליה,"רחוב שפיים, הרצליה",32.16411231,34.81479317,qualified_name,0.95,FALSE,
תחנת דימונה,10001918,תחנת דימונה,station,דימונה,"שדרות הרצל פינת רחוב מ""ד המעפילים, דימונה",31.06761558,35.03421788,exact,1,FALSE,
תחנת הבקעה,,,,,,,,unresolved,0,TRUE,No corresponding police_stations record was found.
תחנת העיירות,10001937,תחנת העיירות (צומת שוקת),station,,"כביש 60, בין מחלף מיתר למחלף שוקת",31.30343889,34.89689659,qualified_name,0.95,FALSE,
תחנת הראל,10002475,תחנת הראל (מבשרת ציון),station,מבשרת ציון,"הצור 3, מבשרת ציון",31.78986564,35.13949701,qualified_name,0.95,FALSE,
תחנת זבולון,10004207,תחנת זבולון (קריות),station,חיפה,"ההסתדרות 291, חיפה",32.81525906,35.0732284,qualified_name,0.95,FALSE,
תחנת זכרון יעקב,10004333,תחנת זכרון-יעקב,station,זכרון יעקב,"כביש 4 (צפונית לצומת זכרון יעקב), זכרון יעקב",32.57302002,34.93951711,normalized_exact,0.99,FALSE,
תחנת חברון,15003512,תחנת יהודה,station,קרית ארבע,"שכונת גבעת האבות(כניסה מציר מערבית לשכונה-צמוד לכניסה לשכונה), קרית ארבע",31.53023875,35.11104828,probable_rename,0.65,FALSE,Probable current equivalent is תחנת יהודה in Kiryat Arba; verify operational responsibility.
תחנת חדרה,10004261,תחנת חדרה,station,חדרה,"כביש 4 בסמוך לכיכר המאה, חדרה",32.43728362,34.91181087,exact,1,FALSE,
תחנת חולון,15005645,תחנת חולון איילון החדש,station,חולון,"פיכמן 18, חולון",32.01459323,34.77496379,qualified_name,0.95,FALSE,
תחנת חיפה,10004171,תחנת חיפה,station,חיפה,"רחוב נתן אלבז פינת רחוב ירוחם צייזל, חיפה",32.80451118,35.01091227,exact,1,FALSE,
תחנת טבריה,10004552,תחנת טבריה,station,טבריה,"סמוך לצומת הרחובות שמעון דהאן / דרך הציונות והחשמונאים, טבריה",32.79488014,35.52579404,exact,1,FALSE,
תחנת טייבה,10002155,תחנת טייבה,station,טייבה,"כביש 444 (שכונת הבדואים), טייבה",32.24917825,34.99392221,exact,1,FALSE,
תחנת טירה,10004769,תחנת טירה,station,טירה,"רחוב אל קודס פינת באב אל חאן, טירה",32.23121514,34.95446505,exact,1,FALSE,
תחנת טירת כרמל,10004710,תחנת טירת-הכרמל,station,טירת כרמל,"לניאדו 1 (פינת הפלמ""ח 2), טירת כרמל",32.75918511,34.97486602,spelling_variant,0.98,FALSE,Only the definite article and hyphen differ.
תחנת טמרה,15002411,תחנת באקה אל-ע'רביה,station,טמרה,רח' סלמאן אל פארסי,32.84995986,35.18200946,source_data_conflict,0.55,FALSE,The record is located in Tamra but its seed name is incorrectly/ambiguously תחנת באקה אל-ע'רביה.
תחנת יבנה,15002488,תחנת יבנה,station,יבנה,"הגלבוע 42, יבנה",31.87806699,34.75114283,exact,1,FALSE,
תחנת יפו,15002211,תחנת יפו,station,תל אביב - יפו,"דרך שלמה (סלמה) 18, תל אביב-יפו",32.05417518,34.76247482,exact,1,FALSE,
תחנת ירדן,10004540,תחנת ירדן (ראש פינה),station,ראש פינה,"רחוב דרך הגליל פינת רחוב מעלה גיא אוני (כיכר ליזה), ראש פינה",32.97002254,35.54936038,qualified_name,0.95,FALSE,
תחנת כפר כנא,15002369,תחנת כפר-כנא,station,כפר כנא,"אזור תעשיה (בסמוך לאצטדיון עירוני), כפר כנא",32.75686648,35.33449316,normalized_exact,0.99,FALSE,
תחנת כפר סבא,10002133,תחנת כפר-סבא,station,כפר סבא,"טשרניחובסקי 2, כפר סבא",32.17533914,34.89273966,normalized_exact,0.99,FALSE,
תחנת כפר קאסם,15000658,תחנת כפר קאסם,station,כפר קאסם,"צמוד לעירייה, כניסה מחנייה משותפת לעירייה ולמשרד הפנים(רחוב חסן ת'אבת), כפר קאסם",32.11393383,34.97598739,exact,1,FALSE,
תחנת כרמיאל,10004465,תחנת כרמיאל,station,כרמיאל,"החרושת 7, כרמיאל",32.9225529,35.30408347,exact,1,FALSE,
תחנת לב הבירה,10002489,תחנת לב הבירה (ירושלים),station,ירושלים,"כיכר מוסקבה (שניאור חשין 1), מגרש הרוסים, ירושלים",31.78176447,35.22195864,qualified_name,0.95,FALSE,
תחנת לב תל אביב,10001579,תחנת לב תל אביב,station,תל אביב - יפו,"רח' 1285 מס' בית 13, תל אביב יפו(מול תחנת רכבת סבידור)",32.08227459,34.79734623,exact,1,FALSE,
תחנת לוד,10002261,תחנת לוד,station,לוד,"רחוב כצנלסון פינת רחוב מיכאל כהן, לוד",31.95174158,34.89392031,exact,1,FALSE,
תחנת מג'ד אל-כרום,15002358,תחנת מג'ד אל-כרום,station,מג'ד אל כרום,"רח' סלאח א-דין, מג'ד אל-כרום",32.91886093,35.24838102,exact,1,FALSE,
