LocalityCode,LocNameHeb,Total_Population,Residents_in_collective_residences_and_institutions,Foreigners,Households ,Average_size_of_household
472,אבו גוש,"8,657",12,508,"2,403",3.4
473,אבו סנאן,"13,895",-,21,"3,925",3.5
1342,אבו קורינאת (יישוב),"2,367",-,1,486,4.9
1375,אבו תלול,"4,983",-,-,"1,210",4.1
652,אבטין,"2,752",-,5,677,4.1
1275,אבטליון,472,-,1,134,3.5
679,אביאל,773,-,51,236,3.1
1115,אביבים,492,-,41,139,3.3
819,אביגדור,836,-,32,281,2.9
175,אביחיל,"1,286",-,16,482,2.6
2052,אביטל,609,-,54,178,3.1
1070,אביעזר,914,-,1,286,3.2
1220,אבירים,282,-,-,99,2.9
182,אבן יהודה,"14,989",264,205,"4,930",3.0
1081,אבן מנחם,385,-,30,120,3.0
783,אבן ספיר,715,-,9,281,2.5
400,אבן שמואל,"1,949",75,15,457,4.1
4011,אבני איתן,956,-,96,198,4.4
3793,אבני חפץ,"2,211",-,3,563,3.9
3786,אבנת,241,20,-,42,5.3
1311,אבשלום,359,-,11,105,3.3
3759,אדורה,487,-,4,106,4.5
113,אדירים,358,-,52,109,2.8
1068,אדמית,396,34,8,196,2.1
1123,אדרת,"1,080",-,4,282,3.8
446,אודים,"1,227",-,129,404,2.7
4010,אודם,261,-,-,89,2.9
1046,אוהד,654,-,256,127,3.1
2710,אום אל-פחם,"57,560",29,32,"15,707",3.7
2024,אום אל-קוטוף,"1,196",-,-,326,3.7
1358,אום בטין,"4,968",-,-,"1,282",3.9
1108,אומן,761,-,-,223,3.4
680,אומץ,807,-,68,242,3.1
31,אופקים,"35,355",626,273,"10,088",3.4
1294,אור הגנוז,679,11,-,133,5.0
67,אור הנר,905,-,22,289,3.1
2400,אור יהודה,"36,850",399,"1,288","12,040",3.0
1020,אור עקיבא,"22,173",298,459,"7,951",2.7
780,אורה,"1,396",37,9,479,2.8
2012,אורות,544,-,25,193,2.6
4013,אורטל,368,-,36,103,3.2
403,אורים,426,-,27,180,2.2
882,אורנים,115,115,-,,
3760,אורנית,"9,979",-,35,"2,961",3.4
278,אושה,527,28,16,189,2.6
565,אזור,"13,191",185,341,"4,607",2.8
1157,אחווה,384,199,35,78,2.0
821,אחוזם,510,-,20,168,3.0
1330,אחוזת ברק,"2,513",-,5,710,3.5
785,אחיהוד,"1,083",-,41,349,3.0
850,אחיטוב,"1,383",-,316,371,2.9
804,אחיסמך,"1,450",-,15,430,3.3
797,אחיעזר,"2,197",141,25,592,3.4
338,איבים,576,553,-,169,5.2
716,אייל,595,-,15,204,2.8
77,איילת השחר,"1,110",38,38,415,2.5
294,אילון,"1,173",6,25,399,2.9
1126,אילות,385,-,78,116,2.6
49,אילנייה,531,-,2,198,2.7
2600,אילת,"55,213",103,"2,457","22,269",2.4
1336,אירוס,968,-,6,287,3.4
3762,איתמר,"1,491",143,3,261,5.1
37,איתן,719,-,33,169,4.1
886,איתנים,61,61,-,,
478,אכסאל,"14,646",11,31,"4,064",3.6
1339,אל -עזי,188,-,-,48,3.9
1316,אל -עריאן,200,-,-,51,3.9
4003,אל -רום,496,-,18,170,2.8
1359,אל סייד,"5,526",-,-,"1,374",4.0
1145,אלומה,"1,349",-,-,276,4.9
330,אלומות,488,-,5,170,2.8
1182,אלון הגליל,"1,064",-,12,344,3.1
3579,אלון מורה,"2,108",275,9,490,4.0
3604,אלון שבות,"3,289",378,30,948,3.2
429,אלוני אבא,930,-,11,259,3.6
4017,אלוני הבשן,446,5,6,93,4.7
868,אלוני יצחק,182,144,31,14,2.1
285,אלונים,707,-,13,284,2.5
4002,אלי-עד,571,21,16,169,3.2
1365,אליאב,723,-,3,148,4.9
41,אליכין,"3,926",-,41,"1,337",2.9
1248,אליפז,181,-,23,50,3.2
730,אליפלט,729,-,8,241,3.0
682,אליקים,946,-,15,312,3.0
204,אלישיב,698,-,8,227,3.0
841,אלישמע,"1,214",-,20,409,2.9
1125,אלמגור,541,-,92,171,2.7
3556,אלמוג,310,-,18,103,2.8
1309,אלעד,"48,825","1,263",66,"9,601",5.0
3618,אלעזר,"2,456",-,6,619,4.0
3750,אלפי מנשה,"8,068",-,18,"2,624",3.1
603,אלקוש,289,-,12,120,2.4
3560,אלקנה,"4,144",74,29,"1,318",3.2
772,אמונים,"1,062",-,22,344,3.1
1064,אמירים,814,-,-,296,2.8
1253,אמנון,505,-,4,181,2.8
23,אמציה,191,-,4,56,3.4
4012,אניעם,487,-,-,162,3.0
3754,אספר,"1,196",61,1,277,5.3
529,אעבלין,"13,357",84,5,"3,875",3.4
4301,אפיק,377,-,18,116,3.1
176,אפיקים,"1,065",11,30,429,2.4
313,אפק,711,8,10,214,3.2
3650,אפרת,"12,082",165,188,"3,115",3.8
701,ארבל,747,-,12,248,3.0
3598,ארגמן,150,-,5,50,2.9
714,ארז,600,-,7,233,2.6
3570,אריאל,"21,428","2,481",237,"7,437",2.7
1324,ארסוף,164,-,2,59,2.7
71,אשבול,694,-,6,253,2.8
1276,אשבל,152,8,-,40,3.6
70,אשדוד,"227,865","2,236","3,897","74,075",3.0
199,אשדות יעקב (איחוד),955,-,8,327,2.9
188,אשדות יעקב (מאוחד),852,-,50,313,2.6
1188,אשחר,932,-,2,235,4.0
3722,אשכולות,625,-,-,173,3.6
2021,אשל הנשיא,161,62,-,36,2.7
1152,אשלים,705,-,21,269,2.8
7100,אשקלון,"152,370","2,480","3,698","52,378",2.8
1256,אשרת,583,-,2,199,3.0
740,אשתאול,"1,152",-,5,340,3.4
6000,באקה אל-גרביה,"29,868",30,63,"8,256",3.6
21,באר אורה,"1,298",49,7,335,3.7
1376,באר גנים,"2,461",-,35,630,3.9
155,באר טוביה,"1,404",-,120,374,3.5
2530,באר יעקב,"31,439",859,708,"8,886",3.4
1278,באר מילכה,296,-,83,49,4.2
9000,באר שבע,"217,577","6,289","3,513","81,560",2.6
450,בארות יצחק,501,45,20,153,2.9
697,בארותיים,"1,143",-,49,352,3.1
399,בארי,"1,142",-,51,478,2.3
559,בוסתן הגליל,"1,023",19,16,315,3.2
482,בועיינה-נוג'ידאת,"10,087",-,7,"2,623",3.8
4001,בוקעאתא,"6,720",2,-,"1,913",3.5
698,בורגתה,"1,076",-,13,370,2.9
2043,בחן,"1,103",89,2,276,3.7
762,בטחה,894,-,36,230,3.8
234,ביצרון,"1,295",-,156,393,2.9
998,ביר אל-מכסור,"10,510",-,7,"2,803",3.7
1348,ביר הדאג',"2,583",-,1,379,6.8
368,בירייה,"1,009",-,6,353,2.8
317,בית אורן,526,-,35,197,2.5
3574,בית אל,"5,629",469,24,"1,333",3.9
562,בית אלעזרי,"1,660",-,28,490,3.3
95,בית אלפא,"1,189",405,27,503,2.9
3652,בית אריה-עופרים,"5,373",-,21,"1,569",3.4
1076,בית ברל,263,251,-,4,3.4
480,בית ג'ן,"12,038",-,4,"3,608",3.3
619,בית גוברין,471,45,8,141,3.0
571,בית גמליאל,"1,043",-,12,297,3.5
