שם יישוב,סמל,שם תחנה,שם מרחב,שם מחוז
אבו ג'ווייעד (שבט),967,,מרחב רותם,דרום
אבו גוש,472,תחנת הראל,מרחב ציון,ירושלים
אבו סנאן,473,תחנת גליל מערבי,מרחב אשר,חוף
אבו סריחאן (שבט),935,,מרחב רותם,דרום
אבו עבדון (שבט),958,,מרחב רותם,דרום
אבו עמאר (שבט),1042,,מרחב רותם,דרום
אבו עמרה (שבט),932,,מרחב רותם,דרום
אבו קורינאת (יישוב),1342,תחנת ערוער,מרחב רותם,דרום
אבו קורינאת (שבט),968,,מרחב רותם,דרום
אבו רובייעה (שבט),966,,מרחב רותם,דרום
אבו רוקייק (שבט),961,,מרחב רותם,דרום
אבו תלול,1375,תחנת ערוער,מרחב רותם,דרום
אבטין,652,תחנת קרית אתא,מרחב אשר,חוף
אבטליון,1275,תחנת משגב,מרחב גליל,צפון
אביאל,679,תחנת זכרון יעקב,מרחב מנשה,חוף
אביבים,1115,תחנת צפת,מרחב כנרת,צפון
אביגדור,819,תחנת קרית מלאכי,מרחב לכיש,דרום
אביגיל,3869,תחנת חברון,מרחב יהודה,"ש""י"
אביחיל,175,תחנת נתניה,מרחב שרון,מרכז
אביטל,2052,תחנת עפולה,מרחב עמקים,צפון
אביעזר,1070,תחנת מטה יהודה,מרחב ציון,ירושלים
אבירים,1220,תחנת מעלות תרשיחא,מרחב כנרת,צפון
אבן יהודה,182,תחנת שדות,מרחב שרון,מרכז
אבן מנחם,1081,תחנת נהריה,מרחב אשר,חוף
אבן ספיר,783,תחנת מוריה,מרחב ציון,ירושלים
אבן שמואל,400,תחנת קרית גת,מרחב לכיש,דרום
אבני איתן,4011,תחנת גולן,מרחב כנרת,צפון
אבני חפץ,3793,תחנת אריאל,מרחב שומרון,"ש""י"
אבנת,3786,תחנת הבקעה,מרחב גלעד,"ש""י"
אבשלום,1311,תחנת אופקים,מרחב נגב מערבי,דרום
אדורה,3759,תחנת חברון,מרחב יהודה,"ש""י"
אדוריים,3987,תחנת חברון,מרחב יהודה,"ש""י"
אדירים,113,תחנת עפולה,מרחב עמקים,צפון
אדמית,1068,תחנת נהריה,מרחב אשר,חוף
אדרת,1123,תחנת מטה יהודה,מרחב ציון,ירושלים
אודים,446,תחנת שדות,מרחב שרון,מרכז
אודם,4010,תחנת גולן,מרחב כנרת,צפון
אוהד,1046,תחנת אופקים,מרחב נגב מערבי,דרום
אום אל-פחם,2710,תחנת אום אל-פחם,מרחב מנשה,חוף
אום אל-קוטוף,2024,תחנת עירון,מרחב מנשה,חוף
אום בטין,1358,תחנת העיירות,מרחב רותם,דרום
אומן,1108,תחנת עפולה,מרחב עמקים,צפון
אומץ,680,תחנת שדות,מרחב שרון,מרכז
אופקים,31,תחנת אופקים,מרחב נגב מערבי,דרום
אור הגנוז,1294,תחנת צפת,מרחב כנרת,צפון
אור הנר,67,תחנת שדרות,מרחב נגב מערבי,דרום
אור יהודה,2400,תחנת מסובים,מרחב דן,תל אביב
אור עקיבא,1020,תחנת חדרה,מרחב מנשה,חוף
אורה,780,תחנת מוריה,מרחב ציון,ירושלים
אורות,2012,תחנת קרית מלאכי,מרחב לכיש,דרום
אורטל,4013,תחנת גולן,מרחב כנרת,צפון
אורים,403,תחנת אופקים,מרחב נגב מערבי,דרום
אורנים,882,תחנת קרית אתא,מרחב אשר,חוף
אורנית,3760,תחנת אריאל,מרחב שומרון,"ש""י"
אושה,278,תחנת קרית אתא,מרחב אשר,חוף
אזור,565,תחנת חולון,מרחב איילון,תל אביב
אחווה,1157,תחנת קרית מלאכי,מרחב לכיש,דרום
אחוזם,821,תחנת קרית גת,מרחב לכיש,דרום
אחוזת ברק,1330,תחנת עפולה,מרחב עמקים,צפון
אחיהוד,785,תחנת עכו,מרחב אשר,חוף
אחיטוב,850,תחנת שדות,מרחב שרון,מרכז
אחייה,3875,תחנת בנימין,מרחב שומרון,"ש""י"
אחיסמך,804,תחנת לוד,מרחב שפלה,מרכז
אחיעזר,797,תחנת לוד,מרחב שפלה,מרכז
אטרש (שבט),965,,מרחב רותם,דרום
איבי הנחל ,3891,תחנת עציון,מרחב יהודה,"ש""י"
איבים,338,תחנת שדרות,מרחב נגב מערבי,דרום
אייל,716,תחנת טירה,מרחב שרון,מרכז
איילת השחר,77,תחנת ירדן,מרחב כנרת,צפון
אילון,294,תחנת נהריה,מרחב אשר,חוף
אילות,1126,מרחב אילת,מרחב אילת,דרום
אילנייה,49,תחנת טבריה,מרחב כנרת,צפון
אילת,2600,מרחב אילת,מרחב אילת,דרום
אירוס,1336,תחנת יבנה,מרחב שפלה,מרכז
איתמר,3762,תחנת אריאל,מרחב שומרון,"ש""י"
איתן,37,תחנת קרית גת,מרחב לכיש,דרום
איתנים,886,תחנת מטה יהודה,מרחב ציון,ירושלים
אכסאל,478,תחנת תבור,מרחב עמקים,צפון
אל -עזי,1339,תחנת קרית מלאכי,מרחב לכיש,דרום
אל -עריאן,1316,תחנת עירון,מרחב מנשה,חוף
אל -רום,4003,תחנת גולן,מרחב כנרת,צפון
אל סייד,1359,תחנת העיירות,מרחב רותם,דרום
אלומה,1145,תחנת קרית גת,מרחב לכיש,דרום
אלומות,330,תחנת טבריה,מרחב כנרת,צפון
אלון,3898,תחנת מעלה אדומים,מרחב גלעד,"ש""י"
אלון הגליל,1182,תחנת שפרעם,מרחב גליל,צפון
אלון מורה,3579,תחנת אריאל,מרחב שומרון,"ש""י"
אלון שבות,3604,תחנת עציון,מרחב יהודה,"ש""י"
אלוני אבא,429,תחנת מגדל העמק,מרחב עמקים,צפון
אלוני הבשן,4017,תחנת גולן,מרחב כנרת,צפון
אלוני יצחק,868,תחנת זכרון יעקב,מרחב מנשה,חוף
אלונים,285,תחנת מגדל העמק,מרחב עמקים,צפון
אלי-עד,4002,תחנת גולן,מרחב כנרת,צפון
אליאב,1365,תחנת קרית גת,מרחב לכיש,דרום
אליכין,41,תחנת חדרה,מרחב מנשה,חוף
אליפז,1248,מרחב אילת,מרחב אילת,דרום
אליפלט,730,תחנת ירדן,מרחב כנרת,צפון
אליקים,682,תחנת מגדל העמק,מרחב עמקים,צפון
אלישיב,204,תחנת שדות,מרחב שרון,מרכז
אלישמע,841,תחנת כפר סבא,מרחב שרון,מרכז
אלמגור,1125,תחנת טבריה,מרחב כנרת,צפון
אלמוג,3556,תחנת הבקעה,מרחב גלעד,"ש""י"
אלעד,1309,תחנת ראש העין,מרחב שרון,מרכז
אלעזר,3618,תחנת עציון,מרחב יהודה,"ש""י"
אלפי מנשה,3750,תחנת אריאל,מרחב שומרון,"ש""י"
אלקוש,603,תחנת מעלות תרשיחא,מרחב כנרת,צפון
אלקנה,3560,תחנת אריאל,מרחב שומרון,"ש""י"
אמונים,772,תחנת קרית מלאכי,מרחב לכיש,דרום
אמירים,1064,תחנת צפת,מרחב כנרת,צפון
אמנון,1253,תחנת ירדן,מרחב כנרת,צפון
אמציה,23,תחנת קרית גת,מרחב לכיש,דרום
אניעם,4012,תחנת גולן,מרחב כנרת,צפון
אסד (שבט),960,,מרחב רותם,דרום
אספר,3754,תחנת עציון,מרחב יהודה,"ש""י"
אעבלין,529,תחנת שפרעם,מרחב גליל,צפון
אעצם (שבט),963,,מרחב רותם,דרום
אפיניש (שבט),959,,מרחב רותם,דרום
אפיק,4301,תחנת גולן,מרחב כנרת,צפון
אפיקים,176,תחנת טבריה,מרחב כנרת,צפון
אפק,313,תחנת קרית אתא,מרחב אשר,חוף
אפרת,3650,תחנת עציון,מרחב יהודה,"ש""י"
ארבל,701,תחנת טבריה,מרחב כנרת,צפון
ארגמן,3598,תחנת הבקעה,מרחב גלעד,"ש""י"
ארז,714,תחנת שדרות,מרחב נגב מערבי,דרום
אריאל,3570,תחנת אריאל,מרחב שומרון,"ש""י"
ארסוף,1324,תחנת שדות,מרחב שרון,מרכז
אשבול,71,תחנת נתיבות,מרחב נגב מערבי,דרום
אשבל,1276,תחנת משגב,מרחב גליל,צפון
אשדוד,70,תחנת אשדוד,מרחב לכיש,דרום
אשדות יעקב (איחוד),199,תחנת טבריה,מרחב כנרת,צפון
אשדות יעקב (מאוחד),188,תחנת טבריה,מרחב כנרת,צפון
אשחר,1188,תחנת משגב,מרחב גליל,צפון
אשכולות,3722,תחנת חברון,מרחב יהודה,"ש""י"
אשל הנשיא,2021,תחנת אופקים,מרחב נגב מערבי,דרום
אשלים,1152,תחנת שגב שלום,מרחב רותם,דרום
אשקלון,7100,תחנת אשקלון,מרחב לכיש,דרום
אשרת,1256,תחנת נהריה,מרחב אשר,חוף
אשתאול,740,תחנת מטה יהודה,מרחב ציון,ירושלים
באקה אל-גרביה,6000,תחנת באקה אל-גרביה,מרחב מנשה,חוף
באר אורה,21,מרחב אילת,מרחב אילת,דרום
באר גנים,1376,תחנת אשקלון,מרחב לכיש,דרום
באר טוביה,155,תחנת קרית מלאכי,מרחב לכיש,דרום
באר יעקב,2530,תחנת רמלה,מרחב שפלה,מרכז
באר מילכה,1278,תחנת שגב שלום,מרחב רותם,דרום
באר שבע,9000,תחנת באר שבע,מרחב נגב מערבי,דרום
בארות יצחק,450,תחנת פתח תקווה,מרחב שרון,מרכז
בארותיים,697,תחנת שדות,מרחב שרון,מרכז
בארי,399,תחנת אופקים,מרחב נגב מערבי,דרום
בוסתן הגליל,559,תחנת עכו,מרחב אשר,חוף
בועיינה-נוג'ידאת,482,תחנת טבריה,מרחב כנרת,צפון
בוקעאתא,4001,תחנת גולן,מרחב כנרת,צפון
בורגתה,698,תחנת שדות,מרחב שרון,מרכז
בחן,2043,תחנת טייבה,מרחב שרון,מרכז
בטחה,762,תחנת אופקים,מרחב נגב מערבי,דרום
ביצרון,234,תחנת קרית מלאכי,מרחב לכיש,דרום
ביר אל-מכסור,998,תחנת שפרעם,מרחב גליל,צפון
ביר הדאג',1348,תחנת שגב שלום,מרחב רותם,דרום
בירייה,368,תחנת צפת,מרחב כנרת,צפון
בית אורן,317,תחנת נשר,מרחב כרמל,חוף
בית אל,3574,תחנת בנימין,מרחב שומרון,"ש""י"
בית אלעזרי,562,תחנת יבנה,מרחב שפלה,מרכז
בית אלפא,95,תחנת בית שאן,מרחב עמקים,צפון
בית אריה,3652,תחנת מודיעין עילית,מרחב שומרון,"ש""י"
בית ברל,1076,תחנת כפר סבא,מרחב שרון,מרכז
בית ג'ן,480,תחנת כרמיאל,מרחב גליל,צפון
בית גוברין,619,תחנת קרית גת,מרחב לכיש,דרום
בית גמליאל,571,תחנת יבנה,מרחב שפלה,מרכז
בית דגן,466,תחנת ראשון לציון,מרחב שפלה,מרכז
בית הגדי,723,תחנת נתיבות,מרחב נגב מערבי,דרום
בית הלוי,373,תחנת שדות,מרחב שרון,מרכז
בית הלל,322,תחנת קרית שמונה,מרחב כנרת,צפון
בית העמק,572,תחנת נהריה,מרחב אשר,חוף
בית הערבה,3645,תחנת הבקעה,מרחב גלעד,"ש""י"
בית השיטה,242,תחנת בית שאן,מרחב עמקים,צפון
בית זיד,353,תחנת קרית אתא,מרחב אשר,חוף
בית זית,710,תחנת הראל,מרחב ציון,ירושלים
בית זרע,143,תחנת טבריה,מרחב כנרת,צפון
בית חגלה,3864,תחנת הבקעה,מרחב גלעד,"ש""י"
בית חורון,3575,תחנת מודיעין עילית,מרחב שומרון,"ש""י"
בית חירות,877,תחנת שדות,מרחב שרון,מרכז
בית חלקיה,2033,תחנת יבנה,מרחב שפלה,מרכז
בית חנן,159,תחנת יבנה,מרחב שפלה,מרכז
בית חנניה,800,תחנת זכרון יעקב,מרחב מנשה,חוף
בית חשמונאי,1050,תחנת רמלה,מרחב שפלה,מרכז
בית יהושע,288,תחנת שדות,מרחב שרון,מרכז
בית יוסף,265,תחנת בית שאן,מרחב עמקים,צפון
